Counties,# of Listings,Most Recent Report,Last Posted,Link
Sebastian,2,4-2004,6-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=Sebastian
Sevier,2,2-2011,9-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=Sevier
Sharp,,,,
St. Francis,1,8-2001,4-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=St%2E+Francis
Stone,1,8-2017,10-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=Stone
Union,4,5-2005,5-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=Union
Van Buren,,,,
Washington,2,10-2002,12-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=Washington
White,3,12-2015,12-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=White
Woodruff,,,,
Yell,2,7-2008,10-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=ar&county=Yell
Apache,11,6-2021,6-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Apache
Cochise,2,10-2000,11-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Cochise
Coconino,34,6-2016,10-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Coconino
Gila,6,11-2006,1-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Gila
Graham,8,6-2013,5-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Graham
Greenlee,1,9-1993,5-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Greenlee
La Paz,,,,
Maricopa,6,7-2008,2-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Maricopa
County,# ofListings,MostRecentReport,LastPosted,
Mohave,2,6-2001,10-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Mohave
Navajo,6,4-2014,4-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Navajo
Pima,1,10-1975,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Pima
Pinal,,,,
Santa Cruz,,,,
Yavapai,8,6-2014,2-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Yavapai
Yuma,,,,
Apache,11,6-2021,6-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Apache
Cochise,2,10-2000,11-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Cochise
Coconino,34,6-2016,10-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Coconino
Gila,6,11-2006,1-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Gila
Graham,8,6-2013,5-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Graham
Greenlee,1,9-1993,5-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Greenlee
La Paz,,,,
Maricopa,6,7-2008,2-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Maricopa
County,# ofListings,MostRecentReport,LastPosted,
Mohave,2,6-2001,10-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Mohave
Navajo,6,4-2014,4-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Navajo
Pima,1,10-1975,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Pima
Pinal,,,,
Santa Cruz,,,,
Yavapai,8,6-2014,2-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=az&county=Yavapai
Yuma,,,,
Alameda,2,5-1990,11-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Alameda
Alpine,9,9-2012,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Alpine
Amador,1,10-2010,10-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Amador
Butte,7,9-2004,12-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Butte
Calaveras,9,10-2024,10-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Calaveras
Colusa,,,,
Contra Costa,1,2-2000,11-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Contra+Costa
Del Norte,29,3-2019,11-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Del+Norte
El Dorado,26,10-2022,11-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=El+Dorado
Fresno,19,5-2015,10-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Fresno
Glenn,,,,
Humboldt,48,9-2024,9-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ca&county=Humboldt
